HCH_010_022_000167	二月丙寅，阻卜來朝，貢方物。
HCH_010_022_000168	夏四月癸未，西北路招討司以所降阻卜酋長至行在。
HCH_010_022_000169	五月甲辰，清暑拖古烈。
HCH_010_022_000170	甲寅，設賢良科，詔應是科者，先以所業十萬言進。
HCH_010_022_000171	六月辛巳，阻卜來朝。
HCH_010_022_000172	乙酉，以惕隱耶律白為中京留守。
HCH_010_022_000173	是月，禦永安殿放進士趙廷睦等百三十八人。
HCH_010_022_000174	秋七月辛亥，獵於合魯聶特。
HCH_010_022_000175	八月丙子，耶律白薨，追封遼西郡王。
HCH_010_022_000176	九月庚戌，幸藕絲澱。
HCH_010_022_000177	甲寅，以馬希白詩才敏妙，十吏書不能給，召試之。
HCH_010_022_000178	冬十月丁卯，五國部長來朝。
HCH_010_022_000179	壬申，西北路招討司擒阻卜酋長來獻。
HCH_010_022_000180	十一月乙卯，禁鬻生熟鐵於回鶻、阻卜等界。
HCH_010_022_000181	十二月戊午，加圓釋、法鈞二僧並守司空。
HCH_010_022_000182	己未，以坤寧節，赦死罪以下。
HCH_010_022_000183	辛酉，禁漢人捕獵。
HCH_010_022_000184	七年春正月戊子，如鴨子河。
HCH_010_022_000185	二月乙丑，女直進馬。
HCH_010_022_000186	丙寅，以南院樞密使姚景行知興中府事。
HCH_010_022_000187	三月己酉，以討五國功，加知黃龍府事蒲延、懷化軍節度使高元紀、易州觀察使高正並千牛衛上將軍，五國節度使蕭陶蘇斡、寧江州防禦使大榮並靜江軍節度使。
HCH_010_022_000188	幸黑水。
HCH_010_022_000189	夏四月癸酉，如納葛濼。
HCH_010_022_000190	乙亥，禁布帛短狹不中尺度者。
HCH_010_022_000191	六月己卯，吐蕃來貢。
HCH_010_022_000192	癸未，南院大王高八致仕。
HCH_010_022_000193	秋七月甲申朔，以東北路詳穩合裏只為南院大王，西南面招討使拾得奴為奚六部大王。
HCH_010_022_000194	己丑，遣使按問五京囚。
HCH_010_022_000195	庚子，如藕絲澱。
HCH_010_022_000196	八月辛巳，置佛骨於招仙浮圖，罷獵，禁屠殺。
HCH_010_022_000197	冬十月己卯，如醫巫閭山。
HCH_010_022_000198	壬戌，以南府宰相耶律蕊奴為南京統軍使。
HCH_010_022_000199	戊辰，謁乾陵。
HCH_010_022_000200	庚辰，詔百官廷議軍國事。
HCH_010_022_000201	十一月戊子，免南京流民租。
HCH_010_022_000202	己丑，振饒州饑民。
HCH_010_022_000203	丙午，高麗遣使來貢。
HCH_010_022_000204	十二月壬子，以契丹行宮都部署耶律胡睹知北院樞密使事，知北院樞密使事蕭惟信為南府宰相，兼契丹行宮都部署。
HCH_010_022_000205	丁巳，漢人行宮都部署李仲禧、北院宣徽使劉霂、樞密副使王觀、都承旨楊興工各賜國姓。
HCH_010_022_000206	戊寅，回鶻來貢。
HCH_010_022_000207	是歲，春州鬥粟六錢。
HCH_010_022_000208	本元朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
