HCH_009_036_000142	舍人贊：「禮部尚書再拜。」
HCH_009_036_000143	訖，贊：「祗候。」
HCH_009_036_000144	複本班。
HCH_009_036_000145	內侍局進禦床入。
HCH_009_036_000146	次良醖令于殿下橫階南酹酒，訖，典儀曰：「拜。」
HCH_009_036_000147	贊者承傳，在位官皆再拜，隨拜三稱「萬歲」，訖，平立。
HCH_009_036_000148	太常博士、通事舍人分引攝上公由東階升。
HCH_009_036_000149	初升，宮縣奏《肅甯之曲》。
HCH_009_036_000150	殿上，舍人少退，二閣使揖上公進，至進酒褥位，樂止。
HCH_009_036_000151	宣徽使以爵授上公，上公搢笏，受爵。
HCH_009_036_000152	詣榻前跪進。
HCH_009_036_000153	受爵訖，上公執槃授宣徽使，訖，二閣使揖上公入欄子內，贊：「拜。」
HCH_009_036_000154	跪。
HCH_009_036_000155	殿下，閣門揖百僚皆躬身。
HCH_009_036_000156	通事舍人揖攝侍中進，詣前楹間，躬承旨，退臨階西向稱：「有制。」
HCH_009_036_000157	典儀曰：「拜。」
HCH_009_036_000158	贊者承傳，上公及在位群官皆再拜，隨拜三稱「萬歲」，訖，躬身宣曰：「得公等壽酒，與公等內外同慶。」
HCH_009_036_000159	閣門舍人贊宣諭訖，上公與百僚皆舞蹈五拜，訖，閣門舍人引百僚分班東西序北向立。
HCH_009_036_000160	博士舍人再引上公自東階升，宮縣奏《肅甯之曲》，至進酒褥位，樂止。
HCH_009_036_000161	上公搢笏，宣徽使授上公槃，上公詣欄子內褥位，跪舉酒，宮縣奏《景命萬年之曲》，飲訖，樂止。
HCH_009_036_000162	上公進受虛爵訖，複褥位，以爵授宣徽使，訖，二閣使揖上公退，內侍局舁禦床出。
HCH_009_036_000163	博士舍人並進前分引，降自東階，宮縣作《肅甯之曲》。
HCH_009_036_000164	閣門舍人分引東西兩班，隨上公俱複北向位，立定，樂止。
HCH_009_036_000165	典儀曰：「拜。」
HCH_009_036_000166	贊者承傳，在位官皆再拜，三稱「萬歲」，訖，平立。
HCH_009_036_000167	殿上，通事舍人揖攝侍中進，詣前楹間，躬承旨，退臨階西向，閣門官先揖，百僚躬身，侍中稱：「有制。」
HCH_009_036_000168	典儀曰：「拜。」
HCH_009_036_000169	贊者承傳，在位官皆再拜，訖，躬身宣曰：「延王公等升殿。」
HCH_009_036_000170	典儀曰：「拜。」
HCH_009_036_000171	贊者承傳，在位官皆再拜，訖，搢笏，舞蹈，又再拜，訖。
HCH_009_036_000172	太常博士、通事舍人引王公以下合赴宴群官，分左右升殿，不與宴群官分左右卷班出，宮縣奏《肅甯之曲》。
HCH_009_036_000173	百僚至殿上坐後立，樂止。
HCH_009_036_000174	內侍局進禦床入。
HCH_009_036_000175	依尋常宴會，再進第一爵酒，登歌奏《聖德昭明之曲》，飲訖，樂止。
HCH_009_036_000176	執事者行官酒，宮縣作《肅甯之曲》，文舞入，觴行一周，樂止。
HCH_009_036_000177	尚食局進食，執事者設群官食，宮縣奏《保大定功之舞》，三成，止，出。
HCH_009_036_000178	又進第二爵酒，登歌奏《天贊堯齡之曲》，飲訖，樂止。
HCH_009_036_000179	執事者行群官酒，宮縣作《肅甯之曲》，武舞入，觴行一周，樂止。
HCH_009_036_000180	尚食局進食，執事者設群官食，宮縣奏《萬國來同之舞》，三成，止，出。
HCH_009_036_000181	又進第三爵酒，登歌奏《慶雲之曲》，飲訖，樂止。
HCH_009_036_000182	執事者行群官酒，宮縣作《肅甯之曲》，觴行一周，樂止。
HCH_009_036_000183	尚食局進食，執事者設群官食，宮縣奏《肅甯之曲》，食畢，樂止。
HCH_009_036_000184	閣門官分揖侍宴群官起，立于席後。
HCH_009_036_000185	通事舍人引攝侍中詣榻前，俯伏，興，跪奏：「侍中臣某言，禮畢。」
HCH_009_036_000186	俯伏，興。
HCH_009_036_000187	閣門舍人分引群官俱降東西階，內侍局舁禦床出，宮縣作《肅甯之曲》，至北向位立定，樂止。
HCH_009_036_000188	典儀曰：「拜。」
HCH_009_036_000189	贊者承傳，在位官皆再拜，訖，搢笏，舞蹈，又再拜，訖，再分班東西序立。
HCH_009_036_000190	扇合，簾降，殿上下鳴鞭。
HCH_009_036_000191	協律郎俯伏，跪，舉麾，興，工鼓柷，奏《乾甯之曲》。
HCH_009_036_000192	降座，入自東房，還後閣，侍衛如來儀。
HCH_009_036_000193	內侍贊：「扇開。」
HCH_009_036_000194	戛敔，樂止。
HCH_009_036_000195	通事舍人引攝侍中版奏：「解嚴。」
HCH_009_036_000196	所司承旨放仗，在位群官皆再拜以次出。
HCH_009_036_000197	皇帝升御座，鳴鞭、報時畢，殿前班小起居，各複侍立位。
HCH_009_036_000198	舍人引皇太子並臣僚使客合班入，至丹墀，舞蹈五拜，平立。
HCH_009_036_000199	閣使奏諸道表目，皇太子以下皆再拜。
HCH_009_036_000200	引皇太子升殿褥位，搢笏，捧盞盤，進酒，皇帝受置於案。
HCH_009_036_000201	皇太子退複褥位，轉盤與執事者，出笏，二閣使齊揖入欄子內，拜跪致詞雲：「元正啟祚，品物鹹新，恭惟皇帝陛下與天同休。」
HCH_009_036_000202	若聖節則雲：「萬春令節，謹上壽卮，伏願皇帝陛下萬歲萬歲萬萬歲。」
HCH_009_036_000203	祝畢，拜，興，複褥位，同殿下群僚皆再拜。
HCH_009_036_000204	宣徽使稱：「有制。」
HCH_009_036_000205	在位皆再拜，宣答曰：「履新上壽，與卿等內外同慶。」
HCH_009_036_000206	聖節則曰：「得卿壽酒，與卿等內外同慶。」
HCH_009_036_000207	詞畢，舞蹈五拜，齊立。
HCH_009_036_000208	皇太子搢笏，執盤，臣僚分班，教坊奏樂。
HCH_009_036_000209	皇帝舉酒，殿上下侍立臣僚皆再拜。
HCH_009_036_000210	皇太子受虛盞，退立褥位，轉盤與執事者，出笏，左下殿，樂止，合班，在位臣僚皆再拜。
HCH_009_036_000211	分引與宴官上殿，次引宋國人從至丹墀，再拜，不出班奏：「聖躬萬福。」
HCH_009_036_000212	再拜，喝：「有敕賜酒食。」
HCH_009_036_000213	又再拜，各祗候，平立，引左廊立。
HCH_009_036_000214	次引高麗、夏人從，如上儀畢，分引左右廊立。
HCH_009_036_000215	禦果床入，進酒。
HCH_009_036_000216	皇帝飲，則坐宴侍立臣皆再拜。
HCH_009_036_000217	進酒官接盞還位，坐宴官再拜，複坐。
HCH_009_036_000218	行酒，傳宣，立飲，訖，再拜，坐。
HCH_009_036_000219	次從人再拜，坐。
HCH_009_036_000220	三盞，致語，揖臣使並從人立。
HCH_009_036_000221	誦口號畢，坐宴侍立官皆再拜，坐，次從人再拜，坐。
HCH_009_036_000222	食入，七盞，曲將終，揖從人立，再拜畢，引出。
HCH_009_036_000223	聞曲時，揖臣使起，再拜，下殿。
HCH_009_036_000224	果床出。
HCH_009_036_000225	至丹墀，合班謝宴，舞蹈五拜，各祗候，分引出。
HCH_009_036_000226	大定六年正月，上禦大安殿，受皇太子以下百官及外國使賀，賜宴，文武五品以上侍坐者有定員，為常制。
HCH_009_036_000227	十七年，詔以皇族袒免以上親，雖無官爵封邑，若與宴當有班次。
HCH_009_036_000228	禮官言：「按唐典，皇家周親視三品，大功親、小功尊屬視四品，小功親、緦麻尊屬視五品，緦麻袒免以上視六品。」
HCH_009_036_000229	上命以此制為班次。
HCH_009_036_000230	天眷二年五月，詳定常朝及朔，望儀，准前代制，以朔日、六日、十一日、十五日、二十一日、二十六日為六參日。
HCH_009_036_000231	後又定制，以朔、望日為朝參，余日為常朝。
HCH_009_036_000232	凡朔、望朝參日，百官卯時至冪次，皇帝辰刻視朝，供禦弩手、傘子直於殿門外，分兩面排立。
HCH_009_036_000233	司辰入殿報時畢，皇帝禦殿坐，鳴鞭。
HCH_009_036_000234	閣門報班齊。
HCH_009_036_000235	執擎儀物內侍分降殿階兩傍，面南立。
HCH_009_036_000236	宿衛官自都點檢至左右親衛，祗應官自宣徽閣門祗候，先兩拜，班首少離位，奏：「聖躬萬福。」
HCH_009_036_000237	兩拜。
HCH_009_036_000238	弩手、傘子先於殿門外東西向排立，俟奏「聖躬萬福」時，即就位北面山呼聲喏，起居畢，即相向對立。
HCH_009_036_000239	擎禦傘直立左班內侍上。
HCH_009_036_000240	都點檢以次升殿，副點檢在少南，東西相向立。
HCH_009_036_000241	左右衛在殿下，東西相向立。
HCH_009_036_000242	閣門乃引親王班，贊班首名以下再拜，訖，班首少離位，奏：「聖躬萬福。」
HCH_009_036_000243	歸位再拜畢，先退。
HCH_009_036_000244	次引文武百僚班首以下應合朝參官，並府運六品以上官，皆左入，至丹墀之東，西向鞠躬畢，閣門通唱，複引至丹墀。
HCH_009_036_000245	閣門贊班首名以下起居，舞蹈五拜，又再拜，畢，領省宰執升殿奏事。
HCH_009_036_000246	殿中侍御史對立于左右衛將軍之北少前，修起居東西對立於殿欄子內副階下，餘退，右出。
HCH_009_036_000247	初，帝就坐，置寶匣於殿階上東南角。
HCH_009_036_000248	後定制，師傅起居畢，禦案始東入，置定，捧案內侍東西分下，侍殿隅。
HCH_009_036_000249	直日主寶捧寶當殿叩欄奏：「封全。」
HCH_009_036_000250	符寶郎及當監印郎中各一員，監當手分令史用印，訖，主寶吏封授主寶，俟奏事畢進封，訖，內侍徹案。
HCH_009_036_000251	若常朝，則親王班退，引七品以上職事官，分左右班入丹墀，再拜，班首稍前起居畢，復位，再拜。
HCH_009_036_000252	宰執升殿，余官分班退。
HCH_009_036_000253	大定二年五月，命台臣定朝參禮。
HCH_009_036_000254	五品以上官職趨朝朝服，入局治事則展皁。
HCH_009_036_000255	自來朝參，除殿前班外，若遇朔望，自七品以上職事官皆赴。
HCH_009_036_000256	其餘朝日，五品以上職事官得赴，六品以下止于本司局治事。
HCH_009_036_000257	如左右司員外郎、侍御史、記注院等官職，雖不系五品，亦赴朝參。
HCH_009_036_000258	若拜詔，則但有職事並七品以上散官，皆赴。
HCH_009_036_000259	朝參，吏員、令譯史、通事、檢法各於本局待，官員朝退，赴局簽押文字，不得于宮給署押。
HCH_009_036_000260	七品以下流外職，遇朝日亦不合入宮。
HCH_009_036_000261	如左右司都事有須合取奏事，乃聽入宮。
HCH_009_036_000262	七品以上職事官，如遇使客朝辭見日，依朔望日，皆赴。
HCH_009_036_000263	若元日、聖節、拜詔、車駕出獵送迎、詣祖廟燒飯，但有職事並七品以上散官，皆赴。
HCH_009_036_000264	凡親王宗室已命官者年十六以上，皆隨班赴起居。
HCH_009_036_000265	大定五年，右諫議大夫移剌子敬言：「猛安謀克不得與州鎮官隨班入見，非軍民一體之意。」
HCH_009_036_000266	上是其言，責宣徽院令隨班入見。
HCH_009_036_000267	凡班首遇朝參，有故不赴，以次押班。
HCH_009_036_000268	凡五品以上及侍御史，尚書諸司郎中、太常丞、翰林修撰起居注、殿中侍御史、補闕、拾遺赴召，或假一月以上若除官出使之類，皆通班入見辭、謝，余官於殿門外見。
HCH_009_036_000269	謝班皆舞蹈七拜，辭班四拜，門見謝、辭並再拜。
HCH_009_036_000270	大定七年正月十一日，上尊冊禮畢。
HCH_009_036_000271	十四月，應天門頒赦。
HCH_009_036_000272	十一年制同。
HCH_009_036_000273	前期，宣徽院使率其屬，陳設應天門之內外，設御座于應天門上，又更衣禦幄于大安殿門外稍東，南向。
HCH_009_036_000274	閣門使設捧制書箱案于御座之左。
HCH_009_036_000275	少府監設雞竿于樓下之左，竿上置大盤，盤中置金雞，雞口銜絳幡，幡上金書「大赦天下」四字，卷而銜之。
HCH_009_036_000276	盤四面近邊安四大鐵鐶，盤底四面近邊懸四大硃索，以備四伎人攀緣。
HCH_009_036_000277	又設捧制書木鶴仙人一，以紅繩貫之，引以轆轤，置於御前欄幹上。
HCH_009_036_000278	又設承鶴畫台于樓下正中，台以弩手四人對舉。
HCH_009_036_000279	大樂署設宮縣於樓下，又設鼓一于宮縣之左稍北，東向。
HCH_009_036_000280	兵部立黃麾仗於門外。
HCH_009_036_000281	刑部、禦史台、大興府以囚徒集于左仗外。
HCH_009_036_000282	禦史台、閣門司設文武百官位於樓下，東西相向。
HCH_009_036_000283	又設典儀位於門下稍東，南向。
HCH_009_036_000284	宣徽院設承受制書案於畫台之前。
HCH_009_036_000285	又設皇太子侍立褥位於門下稍東，西向。
HCH_009_036_000286	又設皇太子致賀褥位於百官班前。
HCH_009_036_000287	又設協律郎位於樓上前楹稍東，西向。
HCH_009_036_000288	尚書省委所司設宣制書位於百官班之北稍東，西向。
HCH_009_036_000289	司天臺設雞唱生於東闕樓之上。
HCH_009_036_000290	尚衣局備皇帝常服，如常日視朝之服。
HCH_009_036_000291	尚輦設輦於更衣禦幄之前。
HCH_009_036_000292	躬謝禮畢，皇帝乘金輅入應天門，至幄次前，侍中俯伏，跪奏：「請降輅入幄。」
HCH_009_036_000293	俯伏，興。
HCH_009_036_000294	皇帝降輅入幄，簾降。
HCH_009_036_000295	少頃，侍中奏：「中嚴。」
HCH_009_036_000296	又少頃，俟典贊儀引皇太子就門下侍立位，通事舍人引群官就門下分班相向立，侍中奏：「外辦。」
HCH_009_036_000297	皇帝服常朝服，尚輦進輦，侍中奏：「請升輦。」
HCH_009_036_000298	傘扇侍衛如常儀，由左翔龍門踏道升應天門，至御座東，侍中奏：「請降輦升座。」
HCH_009_036_000299	宮縣樂作。
HCH_009_036_000300	所司索扇五十柄，扇合，皇帝臨軒即御座，樓下鳴鞭，簾卷扇開，執禦傘者張於軒前以障日，樂止。
HCH_009_036_000301	東上閣門使捧制書置於箱，閣門舍人二員從，以俟引繩降木鶴仙人。
HCH_009_036_000302	通事舍人引文武群官合班北向立，宮縣樂作。
HCH_009_036_000303	凡分班、合班則樂作，立定即止。
HCH_009_036_000304	典儀曰：「再拜。」
HCH_009_036_000305	在位官皆再拜，訖，分班相向立。
HCH_009_036_000306	侍中詣御座前承旨，退，稍前南向，宣曰：「奉敕樹金雞。」
HCH_009_036_000307	通事舍人于門下稍前東向，宣曰：「奉敕樹金雞。」
HCH_009_036_000308	退復位。
HCH_009_036_000309	金雞初立，大樂署擊鼓，樹訖鼓止。
HCH_009_036_000310	竿木伎人四人，緣繩爭上竿，取雞所銜絳幡，展示訖，三呼「萬歲」。
HCH_009_036_000311	通事舍人引文武群官合班北向立。
HCH_009_036_000312	樓上乘鶴仙人捧制書，循繩而下至畫台，閣使奉承置於案。
HCH_009_036_000313	閣門舍人四員舉案，又二員對捧制書，閣使引至班前，西向稱：「有制。」
HCH_009_036_000314	典儀曰：「拜。」
HCH_009_036_000315	在位官皆再拜，訖，以制書授尚書省長官，稍前搢笏，跪受，訖，以付右司官，右司官搢笏，跪受，訖，長官出笏，俯伏，興，退復位。
HCH_009_036_000316	右司官捧制書詣宣制位，都事對捧，右司官宣讀，至「鹹赦除之」。
HCH_009_036_000317	所司帥獄吏引罪人詣班南，北向，躬稱：「脫枷。」
