HCH_012_003_000000	十五年春正月辛巳，宴羣臣於謹身殿，始用九奏樂。
HCH_012_003_000101	癸丑，振河南饑。
HCH_012_003_000102	夏四月甲辰，詔贖河南饑民所鬻子女。
HCH_012_003_000103	六月甲辰，詔有司存問高年。
HCH_012_003_000104	貧民年八十以上，月給米五斗，酒三斗，肉五斤；九十以上，歲加帛一匹，絮一斤；有田產者罷給米。
HCH_012_003_000105	應天、鳳陽富民年八十以上賜爵社士，九十以上鄉士；天下富民八十以上里士，九十以上社士。
HCH_012_003_000106	皆與縣官均禮，復其家。
HCH_012_003_000107	鰥寡孤獨不能自存者，歲給米六石。
HCH_012_003_000108	士卒戰傷除其籍，賜復三年。
HCH_012_003_000109	將校陣亡，其子世襲加一秩。
HCH_012_003_000110	巖穴之士，以禮聘遣。
HCH_012_003_000111	丁未，振青州及鄭州饑。
HCH_012_003_000112	秋七月癸未，詔舉經明行修練達時務之士。
HCH_012_003_000113	年六十以上者，置翰林備顧問；六十以下，於六部、布按二司用之。
HCH_012_003_000114	八月甲辰，命皇太子修泗州盱眙祖陵，葬德祖以下帝后冕服。
HCH_012_003_000115	九月庚申，屯田雲南。
HCH_012_003_000116	冬十月，命官軍已亡子女幼或父母老者皆給全俸，著為令。
HCH_012_003_000117	十二月癸未朔，日有食之。
HCH_012_003_000118	是月，命宋國公馮勝分兵防邊。
HCH_012_003_000119	發北平、山東、山西、河南民運糧於大寧。
HCH_012_003_000120	是年，高麗、琉球、暹羅、占城、安南入貢。
HCH_012_003_000121	二十年春正月癸丑，馮勝為征虜大將軍，傅友德、藍玉副之，率師征納哈出。
HCH_012_003_000122	焚錦衣衞刑具，以繫囚付刑部。
HCH_012_003_000123	甲子，大祀天地於南郊。
HCH_012_003_000124	禮成，天氣清明。
HCH_012_003_000125	侍臣進曰：「此陛下敬天之誠所致。」
HCH_012_003_000126	帝曰：「所謂敬天者，不獨嚴而有禮，當有其實。天以子民之任付於君，為君者欲求事天，必先恤民。恤民者，事天之實也。即如國家命人任守令之事，若不能福民，則是棄君之命，不敬孰大焉。」
HCH_012_003_000127	又曰：「為人君者，父天母地子民，皆職分之所當盡，祀天地，非祈福於己，實為天下蒼生也。」
HCH_012_003_000128	二月壬午，閱武。
HCH_012_003_000129	乙未，耕耤田。
HCH_012_003_000130	三月辛亥，馮勝率師出松亭關，城大寧、寬河、會州、富峪。
HCH_012_003_000131	夏四月戊子，江夏侯周德興築福建瀕海城，練兵防倭。
HCH_012_003_000132	六月庚子，臨江侯陳鏞從征失道，戰沒。
HCH_012_003_000133	癸卯，馮勝兵踰金山。
HCH_012_003_000134	丁未，納哈出降。
HCH_012_003_000135	閏月庚申，師還次金山，都督濮英殿軍遇伏，死之。
HCH_012_003_000136	秋八月癸酉，收馮勝將軍印，召還，藍玉攝軍事。
HCH_012_003_000137	景川侯曹震屯田雲南品甸。
HCH_012_003_000138	九月戊寅，封納哈出海西侯。
HCH_012_003_000139	癸未，置大寧都指揮使司。
HCH_012_003_000140	丁酉，安置鄭國公常茂於龍州。
HCH_012_003_000141	丁未，藍玉為征虜大將軍，延安侯唐勝宗、武定侯郭英副之，北征沙漠。
HCH_012_003_000142	是月，城西寧。
HCH_012_003_000143	冬十月戊申，封朱壽為舳艫侯，張赫為航海侯。
HCH_012_003_000144	是月，馮勝罷歸鳳陽，奉朝請。
HCH_012_003_000145	十一月壬午，普定侯陳桓、靖寧侯葉昇屯田定邊、姚安、畢節諸衞。
HCH_012_003_000146	己丑，湯和還，凡築寧海、臨山等五十九城。
HCH_012_003_000147	十二月，振登、萊饑。
HCH_012_003_000148	是年，琉球、安南、高麗、占城、真臘、朵甘、烏斯藏入貢。
HCH_012_003_000149	二十一年春正月辛巳，麓川蠻思倫發入寇馬龍他郎甸，都督甯正擊敗之。
HCH_012_003_000150	辛卯，大祀天地於南郊。
HCH_012_003_000151	甲午，振青州饑，逮治有司匿不以聞者。
HCH_012_003_000152	三月乙亥，賜任亨泰等進士及第、出身有差。
HCH_012_003_000153	丙戌，振東昌饑。
HCH_012_003_000154	甲辰，沐英討思倫發敗之。
HCH_012_003_000155	夏四月丙辰，藍玉襲破元嗣君於捕魚兒海，獲其次子地保奴及妃主王公以下數萬人而還。
HCH_012_003_000156	五月甲戌朔，日有食之。
HCH_012_003_000157	六月甲辰，信國公湯和歸鳳陽。
HCH_012_003_000158	甲子，傅友德為征南將軍，沐英、陳桓為左、右副將軍，帥師討東川叛蠻。
HCH_012_003_000159	秋七月戊寅，安置地保奴於琉球。
HCH_012_003_000160	八月癸丑，徙澤、潞民無業者墾河南、北田，賜鈔備農具，復三年。
HCH_012_003_000161	丁卯，藍玉師還，大賚北征將士。
HCH_012_003_000162	戊辰，封孫恪為全寧侯。
HCH_012_003_000163	是月，御製八諭飭武臣。
HCH_012_003_000164	九月丙戌，秦、晉、燕、周、楚、齊、湘、魯、潭九王來朝。
HCH_012_003_000165	癸巳，越州蠻阿資叛，沐英會傅友德討之。
HCH_012_003_000166	冬十月丁未，東川蠻平。
HCH_012_003_000167	十二月壬戌，進封藍玉涼國公。
HCH_012_003_000168	是年，高麗、占城、琉球、暹羅、真臘、撒馬兒罕、安南入貢。
HCH_012_003_000169	詔安南三歲一朝，象犀之屬毋獻。
HCH_012_003_000170	安南黎季犛弒其主煒。
HCH_012_003_000171	二十二年春正月丙戌，改大宗正院曰宗人府，以秦王樉為宗人令，晉王棡、燕王棣為左、右宗正，周王橚、楚王楨為左、右宗人。
HCH_012_003_000172	丁亥，大祀天地於南郊。
HCH_012_003_000173	乙未，傅友德破阿資於普安。
HCH_012_003_000174	二月己未，藍玉練兵四川。
HCH_012_003_000175	壬戌，禁武臣預民事。
HCH_012_003_000176	癸亥，湖廣千戶夏得忠結九溪蠻作亂，靖寧侯葉昇討平之，得忠伏誅。
HCH_012_003_000177	是月，阿資降。
HCH_012_003_000178	三月庚午，傅友德帥諸將分屯四川、湖廣，防西南蠻。
HCH_012_003_000179	夏四月己亥，徙江南民田淮南，賜鈔備農具，復三年。
HCH_012_003_000180	癸丑，魏國公徐允恭、開國公常昇等練兵湖廣。
HCH_012_003_000181	甲寅，徙元降王於眈羅。
HCH_012_003_000182	是月，遣御史按山東官匿災不奏者。
HCH_012_003_000183	五月辛卯，置泰寧、朵顏、福餘三衞於兀良哈。
HCH_012_003_000184	秋七月，傅友德等還。
HCH_012_003_000185	八月乙卯，詔天下舉高年有德識時務者。
HCH_012_003_000186	是月，更定大明律。
HCH_012_003_000187	九月丙寅朔，日有食之。
HCH_012_003_000188	冬十一月丙寅，宣德侯金鎮等練兵湖廣。
HCH_012_003_000189	己卯，思倫發入貢謝罪，麓川平。
HCH_012_003_000190	十二月甲辰，周王橚有罪，遷雲南，尋罷徙，留居京師。
HCH_012_003_000191	定遠侯王弼等練兵山西、河南、陝西。
HCH_012_003_000192	是年，高麗、安南、占城、暹羅、真臘入貢。
HCH_012_003_000193	元也速迭兒弒其主脫古思帖木兒而立坤帖木兒。
HCH_012_003_000194	高麗廢其主禑，又廢其主昌。
HCH_012_003_000195	安南黎季犛復弒其主日。
HCH_012_003_000196	二十三年春正月丁卯，晉王棡、燕王棣帥師征元丞相咬住、太尉乃兒不花，征虜前將軍潁國公傅友德等皆聽節制。
HCH_012_003_000197	己卯，大祀天地於南郊。
HCH_012_003_000198	庚辰，貴州蠻叛，延安侯唐勝宗討平之。
HCH_012_003_000199	乙酉，齊王榑帥師從燕王棣北征。
HCH_012_003_000200	贛州賊為亂，東川侯胡海充總兵官，普定侯陳桓、靖寧侯葉昇為副將，討平之。
HCH_012_003_000201	唐勝宗督貴州各衞屯田。
HCH_012_003_000202	二月戊申，藍玉討平西番叛蠻。
HCH_012_003_000203	丙辰，耕耤田。
HCH_012_003_000204	癸亥，河決歸德，發諸軍民塞之。
HCH_012_003_000205	三月癸巳，燕王棣師次迤都，咬住等降。
HCH_012_003_000206	夏四月，吉安侯陸仲亨等坐胡惟庸黨下獄。
HCH_012_003_000207	丙申，潭王梓自焚死。
HCH_012_003_000208	閏月丙子，藍玉平施南、忠建叛蠻。
HCH_012_003_000209	五月甲午，遣諸公侯還里，賜金幣有差。
HCH_012_003_000210	乙卯，賜太師韓國公李善長死，陸仲亨等皆坐誅。
HCH_012_003_000211	作昭示姦黨錄，布告天下。
HCH_012_003_000212	六月乙丑，藍玉遣鳳翔侯張龍平都勻、散毛諸蠻。
HCH_012_003_000213	庚寅，授耆民有才德知典故者官。
HCH_012_003_000214	秋七月壬辰，河決開封，振之。
HCH_012_003_000215	癸巳，崇明、海門風雨海溢，遣官振之，發民二十五萬築隄。
HCH_012_003_000216	八月壬申，詔毋以吏卒充選舉。
HCH_012_003_000217	藍玉還。
HCH_012_003_000218	是月，振河南、北平、山東水災。
HCH_012_003_000219	九月庚寅朔，日有食之。
HCH_012_003_000220	冬十月己卯，振湖廣饑。
HCH_012_003_000221	十一月癸丑，免山東被災田租。
HCH_012_003_000222	十二月癸亥，令殊死以下囚輸粟北邊自贖。
HCH_012_003_000223	壬申，罷天下歲織文綺。
HCH_012_003_000224	是年，墨剌、哈梅里、高麗、占城、真臘、琉球、暹羅入貢。
HCH_012_003_000225	二十四年春正月癸卯，大祀天地於南郊。
HCH_012_003_000226	戊申，潁國公傅友德為征虜將軍，定遠侯王弼、武定侯郭英副之，備北平邊。
HCH_012_003_000227	丁巳，免山東田租。
HCH_012_003_000228	二月壬申，耕耤田。
HCH_012_003_000229	三月戊子朔，日有食之。
HCH_012_003_000230	魏國公徐輝祖、曹國公李景隆、涼國公藍玉等備邊陝西。
HCH_012_003_000231	乙未，靖寧侯葉昇練兵甘肅。
HCH_012_003_000232	丁酉，賜許觀等進士及第、出身有差。
HCH_012_003_000233	夏四月辛未，封皇子㮵為慶王，權寧王，楩岷王，橞谷王，松韓王，模瀋王，楹安王，桱唐王，棟郢王，㰘伊王。
HCH_012_003_000234	癸未，燕王棣督傅友德諸將出塞，敗敵而還。
HCH_012_003_000235	五月戊戌，漢、衞、谷、慶、寧、岷六王練兵臨清。
HCH_012_003_000236	六月己未，詔廷臣參考歷代禮制，更定冠服、居室、器用制度。
HCH_012_003_000237	甲子，久旱錄囚。
HCH_012_003_000238	秋七月庚子，徙富民實京師。
HCH_012_003_000239	辛丑，免畿內官田租之半。
HCH_012_003_000240	八月乙卯，秦王樉有罪，召還京師。
HCH_012_003_000241	乙丑，皇太子巡撫陝西。
HCH_012_003_000242	乙亥，都督僉事劉真、宋晟討哈梅里，敗之。
HCH_012_003_000243	九月乙酉，遣使諭西域。
HCH_012_003_000244	是月，倭寇雷州，百戶李玉、鎮撫陶鼎戰死。
HCH_012_003_000245	冬十月丁巳，免北平、河間被水田租。
HCH_012_003_000246	十一月甲午，五開蠻叛，都督僉事茅鼎討平之。
HCH_012_003_000247	庚戌，皇太子還京師，晉王棡來朝。
HCH_012_003_000248	辛亥，振河南水災。
HCH_012_003_000249	十二月庚午，周王橚復國。
HCH_012_003_000250	辛巳，阿資復叛，都督僉事何福討降之。
HCH_012_003_000251	是年，天下郡縣賦役黃冊成，計戶千六十八萬四千四百三十五，丁五千六百七十七萬四千五百六十一。
HCH_012_003_000252	琉球、暹羅、別失八里、撒馬兒罕入貢。
HCH_012_003_000253	以占城有篡逆事，卻之。
HCH_012_003_000254	二十五年春正月戊子，周王橚來朝。
HCH_012_003_000255	庚寅，河決陽武，發軍民塞之，免被水田租。
HCH_012_003_000256	乙未，大祀天地於南郊。
HCH_012_003_000257	何福討都勻、畢節諸蠻，平之。
HCH_012_003_000258	辛丑，令死囚輸粟塞下。
HCH_012_003_000259	壬寅，晉王棡、燕王棣、楚王楨、湘王柏來朝。
HCH_012_003_000260	二月戊午，召曹國公李景隆等還京師。
HCH_012_003_000261	靖寧侯葉昇等練兵於河南及臨、鞏、甘、涼、延慶。
HCH_012_003_000262	都督茅鼎等平五開蠻。
HCH_012_003_000263	丙寅，耕耤田。
HCH_012_003_000264	庚辰，詔天下衞所軍以十之七屯田。
HCH_012_003_000265	三月癸未，馮勝等十四人分理陝西、山西、河南諸衞軍務。
HCH_012_003_000266	庚寅，改封豫王桂為代王，漢王楧為肅王，衞王植為遼王。
HCH_012_003_000267	夏四月壬子，涼國公藍玉征罕東。
HCH_012_003_000268	癸丑，建昌衞指揮月魯帖木兒叛，指揮魯毅敗之。
HCH_012_003_000269	丙子，皇太子標薨。
HCH_012_003_000270	戊寅，都督聶緯、徐司馬、瞿能討月魯帖木兒，俟藍玉還，並聽節制。
HCH_012_003_000271	五月辛巳，藍玉至罕東，寇遁，遂趨建昌。
HCH_012_003_000272	己丑，振陳州原武水災。
HCH_012_003_000273	六月丁卯，西平侯沐英卒於雲南。
HCH_012_003_000274	秋七月庚辰，秦王樉復國。
HCH_012_003_000275	癸未，指揮瞿能敗月魯帖木兒於雙狼寨。
HCH_012_003_000276	八月己未，江夏侯周德興坐事誅。
HCH_012_003_000277	丁卯，馮勝、傅友德帥開國公常昇等分行山西，籍民為軍，屯田於大同、東勝，立十六衞。
HCH_012_003_000278	甲戌，給公侯歲祿，歸賜田於官。
HCH_012_003_000279	丙子，靖寧侯葉昇坐胡惟庸黨誅。
HCH_012_003_000280	九月庚寅，立皇孫允炆為皇太孫。
HCH_012_003_000281	高麗李成桂幽其主瑤而自立，以國人表來請命，詔聽之，更其國號曰朝鮮。
HCH_012_003_000282	冬十月乙亥，沐春襲封西平侯，鎮雲南。
HCH_012_003_000283	十一月甲午，藍玉擒月魯帖木兒，誅之，召玉還。
HCH_012_003_000284	十二月甲戌，宋國公馮勝、潁國公傅友德等兼東宮師保官。
HCH_012_003_000285	閏月戊戌，馮勝為總兵官，傅友德副之，練兵山西、河南，兼領屯衞。
HCH_012_003_000286	是年，琉球中山、山南，高麗，哈梅里入貢。
HCH_012_003_000287	二十六年春正月戊申，免天下耆民來朝。
HCH_012_003_000288	辛酉，大祀天地於南郊。
HCH_012_003_000289	二月丁丑，晉王棡統山西、河南軍出塞，召馮勝、傅友德、常昇、王弼等還。
HCH_012_003_000290	乙酉，蜀王椿來朝。
HCH_012_003_000291	涼國公藍玉以謀反，幷鶴慶侯張翼、普定侯陳桓、景川侯曹震、舳艫侯朱壽、東莞伯何榮、吏部尚書詹徽等皆坐誅。
HCH_012_003_000292	己丑，頒逆臣錄於天下。
HCH_012_003_000293	庚寅，耕耤田。
HCH_012_003_000294	三月辛亥，代王桂率護衞兵出塞，聽晉王節制。
HCH_012_003_000295	長興侯耿炳文練兵陝西。
HCH_012_003_000296	丙辰，馮勝、傅友德備邊山西、北平，其屬衞將校悉聽晉王、燕王節制。
HCH_012_003_000297	庚申，詔二王軍務大者始以聞。
HCH_012_003_000298	壬戌，會寧侯張溫坐藍玉黨誅。
HCH_012_003_000299	夏四月乙亥，孝感饑，遣使乘傳發倉貸之。
HCH_012_003_000300	詔自今遇歲饑，先貸後聞，著為令。
HCH_012_003_000301	戊子，周王橚來朝。
HCH_012_003_000302	庚寅，旱，詔羣臣直言得失，省獄囚。
HCH_012_003_000303	丙申，以安南擅廢立，絕其朝貢。
HCH_012_003_000304	秋七月甲辰朔，日有食之。
HCH_012_003_000305	戊申，選秀才張宗濬等隨詹事府官分直文華殿，侍皇太孫。
HCH_012_003_000306	八月，秦、晉、燕、周、齊五王來朝。
HCH_012_003_000307	九月癸丑，代、肅、遼、慶、寧五王來朝。
HCH_012_003_000308	赦胡惟庸、藍玉餘黨。
HCH_012_003_000309	冬十月丙申，擢國子監生六十四人為布政使等官。
HCH_012_003_000310	十二月，頒永鑑錄於諸王。
HCH_012_003_000311	是年，琉球、爪哇、暹羅入貢。
HCH_012_003_000312	二十七年春正月乙卯，大祀天地於南郊。
HCH_012_003_000313	辛酉，李景隆為平羌將軍，鎮甘肅。
HCH_012_003_000314	發天下倉穀貸貧民。
HCH_012_003_000315	三月庚子，賜張信等進士及第、出身有差。
HCH_012_003_000316	辛丑，魏國公徐輝祖、安陸侯吳傑備倭浙江。
HCH_012_003_000317	庚戌，課民樹桑棗木棉。
HCH_012_003_000318	甲子，以四方底平，收藏甲兵，示不復用。
HCH_012_003_000319	秋八月甲戌，吳傑及永定侯張銓率致仕武臣，備倭廣東。
HCH_012_003_000320	乙亥，遣國子監生分行天下，督吏民修水利。
HCH_012_003_000321	丙戌，階、文軍亂，都督甯正為平羌將軍討之。
HCH_012_003_000322	九月，徐輝祖節制陝西沿邊諸軍。
HCH_012_003_000323	冬十一月乙丑，潁國公傅友德坐事誅。
HCH_012_003_000324	阿資復叛，西平侯沐春擊敗之。
HCH_012_003_000325	十二月乙亥，定遠侯王弼坐事誅。
HCH_012_003_000326	是年，烏斯藏、琉球、緬、朵甘、爪哇、撒馬兒罕、朝鮮入貢。
HCH_012_003_000327	安南來貢，卻之。
HCH_012_003_000328	二十八年春正月丙午，階、文寇平，甯正以兵從秦王樉征洮州叛番。
HCH_012_003_000329	丁未，大祀天地於南郊。
HCH_012_003_000330	甲子，西平侯沐春擒斬阿資，越州平。
HCH_012_003_000331	是月，周王橚、晉王棡率河南、山西諸衞軍出塞，築城屯田。
HCH_012_003_000332	燕王棣帥總兵官周興出遼東塞。
HCH_012_003_000333	二月丁卯，宋國公馮勝坐事誅。
HCH_012_003_000334	己丑，諭戶部編民百戶為里。
HCH_012_003_000335	婚姻死喪疾病患難，里中富者助財，貧者助力。
HCH_012_003_000336	春秋耕穫，通力合作，以教民睦。
HCH_012_003_000337	夏六月壬申，詔諸土司皆立儒學。
HCH_012_003_000338	辛巳，周興等自開原追敵至甫答迷城，不及而還。
HCH_012_003_000339	己丑，御奉天門，諭羣臣曰：「朕起兵至今四十餘年，灼見情偽，懲創奸頑，或法外用刑，本非常典。後嗣止循律與大誥，不許用黥刺、剕、劓、閹割之刑。臣下敢以請者，置重典。」
HCH_012_003_000340	又曰：「朕罷丞相，設府、部、都察院分理庶政，事權歸於朝廷。嗣君不許復立丞相。臣下敢以請者置重典。皇親惟謀逆不赦。餘罪，宗親會議取上裁。法司祇許舉奏，毋得擅逮。勒諸典章，永為遵守。」
HCH_012_003_000341	秋八月丁卯，都督楊文為征南將軍，指揮韓觀、都督僉事宋晟副之，討龍州土官趙宗壽。
HCH_012_003_000342	戊辰，信國公湯和卒。
HCH_012_003_000343	辛巳，趙宗壽伏罪來朝，楊文移兵討奉議、南丹叛蠻。
HCH_012_003_000344	九月丁酉，免畿內、山東秋糧。
HCH_012_003_000345	庚戌，頒皇明祖訓條章於中外，「後世有言更祖制者，以奸臣論」。
HCH_012_003_000346	十一月乙亥，奉議、南丹蠻悉平。
HCH_012_003_000347	十二月壬辰，詔河南、山東桑棗及二十七年後新墾田，毋徵稅。
HCH_012_003_000348	是年，朝鮮、琉球、暹羅入貢。
HCH_012_003_000349	二十九年春正月壬申，大祀天地於南郊。
HCH_012_003_000350	二月癸卯，征虜前將軍胡冕討郴、桂蠻，平之。
HCH_012_003_000351	辛亥，燕王棣帥師巡大寧，周世子有燉帥師巡北平關隘。
HCH_012_003_000352	三月辛酉，楚王楨、湘王柏來朝。
HCH_012_003_000353	甲子，燕王敗敵於徹徹兒山，又追敗之於兀良哈禿城而還。
HCH_012_003_000354	秋八月丁未，免應天、太平五府田租。
HCH_012_003_000355	九月乙亥，召致仕武臣二千五百餘人入朝，大賚之，各進秩一級。
HCH_012_003_000356	是年，琉球、安南、朝鮮、烏斯藏入貢。
HCH_012_003_000357	三十年春正月丙辰，耿炳文為征西將軍，郭英副之，巡西北邊。
HCH_012_003_000358	丙寅，大祀天地於南郊。
HCH_012_003_000359	丁卯，置行太僕寺於山西、北平、陝西、甘肅、遼東，掌馬政。
HCH_012_003_000360	己巳，左都督楊文屯田遼東。
HCH_012_003_000361	是月，沔縣盜起，詔耿炳文討之。
HCH_012_003_000362	二月庚寅，水西蠻叛，都督僉事顧成為征南將軍，討平之。
HCH_012_003_000363	三月癸丑，賜陳䢿等進士及第、出身有差。
HCH_012_003_000364	庚辰，古州蠻叛，龍里千戶吳得、鎮撫井孚戰死。
HCH_012_003_000365	夏四月己亥，都指揮齊讓為平羌將軍，討之。
HCH_012_003_000366	壬寅，水西蠻平。
HCH_012_003_000367	五月壬子朔，日有食之。
HCH_012_003_000368	乙卯，楚王楨、湘王柏帥師討古州蠻。
HCH_012_003_000369	六月辛巳，賜禮部覆試貢士韓克忠等進士及第、出身有差。
HCH_012_003_000370	己酉，駙馬都尉歐陽倫有罪賜死。
HCH_012_003_000371	秋八月丁亥，河決開封。
HCH_012_003_000372	甲午，李景隆為征虜大將軍，練兵河南。
HCH_012_003_000373	九月庚戌，漢、沔寇平。
HCH_012_003_000374	戊辰，麓川平緬土酋刀幹孟逐其宣慰使思倫發以叛。
HCH_012_003_000375	乙亥，都督楊文為征虜將軍，代齊讓。
HCH_012_003_000376	冬十月戊子，停遼東海運。
